TEM,CO2,PPFD,Pn
18,200,100,1.140119212
18,200,200,1.249198896
18,200,300,1.51424641
18,200,400,1.566596452
18,200,600,1.665404995
18,200,800,1.745443888
18,200,1000,1.810744493
18,200,1200,1.839609437
18,200,1500,1.994215147
18,200,1800,1.925714138
18,200,2000,2.004192109
18,300,100,1.749430274
18,300,200,2.297315343
18,300,300,2.606966693
18,300,400,2.776568204
18,300,600,2.905288888
18,300,800,2.954034321
18,300,1000,2.940838704
18,300,1200,3.030654555
18,300,1500,3.074571098
18,300,1800,3.124954343
18,300,2000,3.149122959
18,400,100,2.201340272
18,400,200,2.815062702
18,400,300,3.063348351
18,400,400,3.238657241
18,400,600,3.298051967
18,400,800,3.268753209
18,400,1000,3.234674367
18,400,1200,3.220972835
18,400,1500,3.285240977
18,400,1800,3.250542412
18,400,2000,3.304272552
18,600,100,2.26186115
18,600,200,2.967279394
18,600,300,3.335589563
18,600,400,3.537175859
18,600,600,3.874463114
18,600,800,4.113158169
18,600,1000,4.315165592
18,600,1200,4.483107083
18,600,1500,4.707254904
18,600,1800,4.912880705
18,600,2000,5.133328466
18,800,100,3.30338756
18,800,200,4.411980082
18,800,300,4.778626292
18,800,400,5.056992207
18,800,600,5.366697603
18,800,800,5.5522577
18,800,1000,5.626453606
18,800,1200,5.718153886
18,800,1500,5.892947198
18,800,1800,5.859293925
18,800,2000,5.946766385
18,1000,100,2.571726155
18,1000,200,3.684697022
18,1000,300,4.010443929
18,1000,400,4.209513343
18,1000,600,4.469887567
18,1000,800,4.588199895
18,1000,1000,4.713099778
18,1000,1200,4.786655103
18,1000,1500,4.817450808
18,1000,1800,5.016028309
18,1000,2000,4.988794535
18,1200,100,2.923126393
18,1200,200,3.936554313
18,1200,300,4.253763545
18,1200,400,4.472728341
18,1200,600,4.66284089
18,1200,800,4.784784779
18,1200,1000,4.718974053
18,1200,1200,4.826678457
18,1200,1500,4.842868767
18,1200,1800,4.896300997
18,1200,2000,4.983186027
18,1500,100,2.567928901
18,1500,200,3.860614527
18,1500,300,4.158710805
18,1500,400,4.486920584
18,1500,600,4.702440369
18,1500,800,4.795395253
18,1500,1000,4.902635757
18,1500,1200,4.975963906
18,1500,1500,4.975018551
18,1500,1800,5.004223197
18,1500,2000,5.060645831
20,200,100,0.334524395
20,200,200,0.546121397
20,200,300,1.591688309
20,200,400,1.718036286
20,200,600,1.857658759
20,200,800,1.925762425
20,200,1000,1.970498278
20,200,1200,1.990039931
20,200,1500,2.061825188
20,200,1800,2.066461448
20,200,2000,2.075844406
20,300,100,1.719810709
20,300,200,2.514103551
